Country,City,Temperature,Humidity,Condition
Global Hub,Accra,,N/A,79 °F
Global Hub,Addis Ababa,,N/A,57 °F
Global Hub,Adelaide,,N/A,63 °F
Global Hub,Algiers,,N/A,73 °F
Global Hub,Almaty,,N/A,68 °F
Global Hub,Amman,,N/A,70 °F
Global Hub,Amsterdam *,,N/A,55 °F
Global Hub,Anadyr,,N/A,38 °F
Global Hub,Anchorage *,,N/A,62 °F
Global Hub,Ankara,,N/A,57 °F
Global Hub,Antananarivo,,N/A,50 °F
Global Hub,Asuncion,,N/A,64 °F
Global Hub,Athens *,,N/A,76 °F
Global Hub,Atlanta *,,N/A,74 °F
Global Hub,Auckland,,N/A,63 °F
Global Hub,Baghdad,,N/A,85 °F
Global Hub,Bangkok,,N/A,88 °F
Global Hub,Barcelona *,,N/A,72 °F
Global Hub,Beijing,,N/A,73 °F
Global Hub,Belgrade *,,N/A,63 °F
Global Hub,Bengaluru,,N/A,72 °F
Global Hub,Berlin *,,N/A,68 °F
Global Hub,Bogota,,N/A,55 °F
Global Hub,Boston *,,N/A,70 °F
Global Hub,Brasilia,,N/A,61 °F
Global Hub,Brisbane,,N/A,67 °F
Global Hub,Brussels *,,N/A,54 °F
Global Hub,Bucharest *,,N/A,63 °F
Global Hub,Budapest *,,N/A,64 °F
Global Hub,Buenos Aires,,N/A,54 °F
Global Hub,Cairo *,,N/A,75 °F
Global Hub,Calgary *,,N/A,68 °F
Global Hub,Canberra,,N/A,52 °F
Global Hub,Cape Town,,N/A,55 °F
Global Hub,Caracas,,N/A,79 °F
Global Hub,Casablanca *,,N/A,66 °F
Global Hub,Chicago *,,N/A,75 °F
Global Hub,Copenhagen *,,N/A,61 °F
Global Hub,Dallas *,,N/A,88 °F
Global Hub,Dar es Salaam,,N/A,72 °F
Global Hub,Darwin,,N/A,84 °F
Global Hub,Denver *,,N/A,70 °F
Global Hub,Detroit *,,N/A,76 °F
Global Hub,Dhaka,,N/A,82 °F
Global Hub,Doha,,N/A,91 °F
Global Hub,Dubai,,N/A,86 °F
Global Hub,Dublin *,,N/A,48 °F
